table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 61,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,88,50,38,12,12,14,19,15,13,15,31,20,22,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,86*,51*,35*,12**,12**,16**,17**,13**,13**,15**,28**,23**,21**,13**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,51,30,21,9,9,8,9,9,6,10,17,15,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,9,2,7,-,-,1,-,3,2,2,2,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 9th to 13th April 2020,4,42,28,14,9,9,7,9,5,4,8,15,11,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 9th to 13th April 2020,3,27,15,12,2,2,7,5,4,6,3,10,5,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 9th to 13th April 2020,2,5,3,2,1,1,-,2,-,1,-,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,3,2,1,-,-,1,-,-,-,2,1,2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,8,6,3,1,1,1,2,-,1,2,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 9th to 13th April 2020,Mean,3.56,3.48,3.67,3.65,3.65,3.46,3.38,3.95,3.57,3.44,3.56,3.55,3.62,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.9,0.87,0.93,0.66,0.66,0.88,0.75,0.79,0.92,1.25,0.79,1.15,0.79,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,69,45,24,9,8,13,12,13,12,10,24,15,12,18,10,1,3,5,4,9,4,6,10,10,4,3,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,73*,49*,24**,13**,12**,13**,11**,12**,12**,11**,23**,16**,12**,21**,9**,1**,2**,5**,5**,9**,4**,11**,10**,10**,4**,3**,57*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,39,25,14,11,9,10,3,8,6,2,12,8,6,13,3,-,1,2,-,4,2,11,6,5,2,3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,10,9,1,-,-,3,1,5,-,1,5,2,1,2,2,-,-,1,-,-,1,1,3,*,1,-,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 11th to 13th September 2020,4,29,16,13,11,9,7,2,3,6,1,7,6,4,11,1,-,1,1,-,4,1,9,3,5,2,3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 11th to 13th September 2020,3,28,19,9,3,3,1,8,4,4,8,11,8,2,7,5,1,*,3,5,5,2,-,3,3,*,-,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 11th to 13th September 2020,2,4,3,1,-,-,2,-,1,1,1,-,-,2,2,1,-,-,-,-,1,-,-,1,1,1,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,2,1,1,-,-,-,-,-,1,1,-,-,2,-,-,-,1,-,-,-,-,-,-,1,-,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,6,4,2,-,-,2,-,1,2,2,-,-,4,2,1,-,1,-,-,1,-,-,1,2,1,-,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 11th to 13th September 2020,Mean,3.56,3.59,3.5,3.8,3.78,3.87,3.39,3.97,3.19,3,3.71,3.63,3.04,3.64,3.53,3,2.72,3.58,3,3.31,3.79,4.13,3.8,3.21,3.74,4,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,0.91,0.97,0.8,0.42,0.44,0.93,0.72,1.03,1.02,0.93,0.79,0.72,1.38,0.79,1.04,-,1.81,0.94,*,0.65,0.88,0.36,1,1.17,1.22,0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,45,24,21,5,5,13,10,6,3,8,15,9,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,50*,25**,25**,8**,8**,19**,9**,4**,2**,9**,16**,12**,14**,8**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 17th to 19th April 2020,NET: Trust,29,15,14,4,4,12,5,2,2,3,9,11,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 17th to 19th April 2020,5 - Trust completely,9,2,7,3,3,3,2,1,1,-,4,4,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 17th to 19th April 2020,4,20,12,7,2,2,9,3,1,2,3,4,8,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 17th to 19th April 2020,3,18,7,11,3,3,6,2,1,-,5,6,-,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 17th to 19th April 2020,2,3,3,-,-,-,-,2,-,-,1,1,1,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 17th to 19th April 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 17th to 19th April 2020,NET: Do not trust,3,3,-,-,-,-,2,-,-,1,1,1,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 17th to 19th April 2020,Mean,3.7,3.56,3.84,3.89,3.89,3.82,3.45,3.99,4.29,3.28,3.73,4.16,3.46,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,0.84,0.84,0.85,0.95,0.95,0.7,1.13,1.03,0.59,0.64,0.99,0.78,0.78,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,64,40,24,7,6,14,16,12,6,9,19,19,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,66*,41*,24**,9**,8**,13**,17**,11**,7**,8**,18**,21**,13**,14**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 15th to 17th May 2020,NET: Trust,31,18,13,4,4,6,10,6,3,2,7,9,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 15th to 17th May 2020,5 - Trust completely,7,4,3,1,1,1,-,3,1,1,1,4,*,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 15th to 17th May 2020,4,24,14,10,3,3,5,10,4,2,1,6,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 15th to 17th May 2020,3,32,22,10,5,4,7,8,5,3,4,9,12,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 15th to 17th May 2020,2,2,2,1,-,-,-,-,-,-,2,1,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 15th to 17th May 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 15th to 17th May 2020,NET: Do not trust,2,2,1,-,-,-,-,-,-,2,1,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 15th to 17th May 2020,Mean,3.55,3.49,3.63,3.6,3.67,3.52,3.55,3.78,3.67,3.07,3.37,3.6,3.47,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,0.74,0.72,0.78,0.78,0.79,0.65,0.51,0.83,0.83,1.03,0.73,0.78,0.71,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 77,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,63,35,28,5,3,14,13,14,4,13,15,18,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 77,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,69*,37*,32**,6**,3**,17**,15**,14**,3**,14**,16**,21**,20**,13**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 77,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 29th to 31st May 2020,NET: Trust,33,18,15,5,3,7,5,7,2,8,7,8,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 77,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 29th to 31st May 2020,5 - Trust completely,3,-,3,-,-,1,-,2,1,-,-,-,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 77,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 29th to 31st May 2020,4,30,18,12,5,3,6,5,6,1,8,7,8,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 77,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 29th to 31st May 2020,3,26,12,14,1,-,8,6,5,*,5,4,11,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 77,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 29th to 31st May 2020,2,8,4,3,-,-,3,2,2,-,1,5,1,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 77,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Smart speaker (e.g. Amazon Echo, Google Home)",ONLINE Fieldwork: 29th to 31st May 2020,1 - Do not trust at all,3,3,-,-,-,-,2,-,1,-,-,2,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
