table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 206,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,9,4,7,12,3,8,8,12,7,6,12,1,4,1,-,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 206,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,10**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9**,7**,7**,3**,6**,10**,3**,7**,7**,10**,6**,5**,10**,1**,4**,1**,-**,8**,2**,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 206,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,-,-,1,1,1,1,1,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 206,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 206,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 22nd to 24th May 2020,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,-,-,1,1,1,1,1,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 206,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 22nd to 24th May 2020,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,1,3,7,3,6,5,7,2,2,7,1,2,1,-,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 206,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 22nd to 24th May 2020,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,1,2,3,-,1,2,3,3,2,3,-,2,-,-,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 206,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 206,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,1,2,3,-,1,2,3,3,2,3,-,2,-,-,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 206,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,2.7,2.7,2.87,2.74,2.78,3,2.85,2.8,2.78,2.62,2.76,2.78,3,2.51,3,-,2.85,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
