table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,585,243,342,92,89,129,126,96,63,79,150,131,135,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,581,245,335,103*,100*,134,119,89*,55*,81*,144,148,125,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,83,38,45,20,20,25,18,10,6,5,22,18,14,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,9,4,5,1,1,3,4,1,-,1,3,-,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 9th to 13th April 2020,4,74,34,40,19,19,22,15,9,6,4,19,18,12,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 9th to 13th April 2020,3,238,90,148,46,43,52,38,40,20,42,57,59,49,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 9th to 13th April 2020,2,184,82,102,32,32,40,43,27,20,22,45,57,44,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,76,35,41,5,5,16,19,13,9,13,21,15,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,259,117,143,37,37,56,62,40,30,34,65,72,62,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 9th to 13th April 2020,Mean,2.58,2.55,2.6,2.79,2.78,2.67,2.5,2.53,2.39,2.48,2.57,2.54,2.49,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.92,0.96,0.9,0.83,0.84,0.98,1,0.89,0.89,0.84,0.96,0.83,0.92,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 71,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,560,224,336,68,67,134,111,96,67,84,145,163,112,140,50,25,61,41,48,44,42,43,68,64,50,24,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 71,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,561,230,331,75*,74*,131,103*,102*,61*,89*,142,164,104*,150,47*,24**,65*,47*,52*,39*,36*,39*,71*,66*,49*,25**,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 71,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,96,42,53,18,18,23,16,16,6,17,26,25,19,26,5,5,8,7,12,6,7,5,19,13,9,1,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 71,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,17,9,8,5,5,5,2,1,1,2,6,3,1,6,2,3,1,-,2,1,-,1,4,1,-,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 71,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,4,79,33,46,13,13,17,14,14,5,15,20,22,17,20,3,2,7,7,9,5,7,4,14,12,9,-,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 71,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,3,252,94,159,29,29,58,53,50,31,31,52,79,47,74,22,10,25,24,26,15,21,21,29,27,24,9,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 71,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,2,161,64,96,19,18,36,28,26,19,33,54,40,26,41,12,7,25,12,10,13,5,12,19,24,11,10,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 71,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,52,29,22,8,8,15,6,11,4,8,11,20,12,9,8,1,8,4,4,5,3,1,5,3,5,5,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 71,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,212,94,119,27,26,50,34,37,23,41,64,59,39,50,20,8,33,16,15,18,8,13,24,26,16,15,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 71,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,Mean,2.73,2.69,2.76,2.84,2.85,2.72,2.78,2.7,2.66,2.67,2.7,2.69,2.7,2.82,2.54,2.94,2.52,2.72,2.91q,2.61,2.89,2.79,2.92q,2.77,2.75,2.24,2.76q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 71,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,0.92,1,0.86,1.06,1.06,0.97,0.82,0.88,0.8,0.94,0.95,0.92,0.93,0.88,0.99,1.03,0.91,0.82,0.96,0.97,0.81,0.79,0.99,0.85,0.87,0.88,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,598,263,335,95,90,117,133,110,57,86,160,175,105,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,606,260,346,101*,95*,117*,129,110*,59*,90*,161,160,140*,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 17th to 19th April 2020,NET: Trust,106,55,51,21,20,27,17,15,10,16,23,21,27,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 17th to 19th April 2020,5 - Trust completely,24,11,14,9,9,6,3,2,1,3,6,8,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 17th to 19th April 2020,4,82,45,37,12,11,21,14,13,10,12,18,13,23,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 17th to 19th April 2020,3,279,100,179,40,37,58,60,54,25,42,70,72,67,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 17th to 19th April 2020,2,170,73,97,30,28,26,36,33,20,24,49,51,40,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 17th to 19th April 2020,1 - Do not trust at all,51,31,20,9,9,5,16,8,4,8,18,17,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 17th to 19th April 2020,NET: Do not trust,221,104,117,40,38,32,52,41,24,32,67,68,46,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 17th to 19th April 2020,Mean,2.77,2.73,2.79,2.81,2.81,2.97,2.63,2.7,2.72,2.76,2.65,2.65,2.85,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 47,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,0.93,1.01,0.85,1.06,1.08,0.9,0.92,0.83,0.85,0.94,0.95,0.95,0.83,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,564,237,327,83,79,129,111,99,63,79,160,144,116,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,558,233,325,93*,87*,127,105*,95*,62*,76*,151,146,125*,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 15th to 17th May 2020,NET: Trust,96,49,46,19,14,25,18,17,7,11,19,22,24,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 15th to 17th May 2020,5 - Trust completely,19,9,11,7,6,5,3,1,1,2,4,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 15th to 17th May 2020,4,76,41,36,12,8,20,15,16,5,9,16,16,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 15th to 17th May 2020,3,230,80,151,33,33,44,51,43,30,29,55,67,55,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 15th to 17th May 2020,2,185,79,105,35,35,50,27,27,18,27,62,46,30,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 15th to 17th May 2020,1 - Do not trust at all,48,25,23,6,5,9,9,8,7,8,15,11,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 15th to 17th May 2020,NET: Do not trust,232,104,128,42,40,59,36,35,25,35,77,57,46,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 15th to 17th May 2020,Mean,2.7,2.69,2.71,2.76,2.71,2.7,2.77,2.72,2.61,2.61,2.55,2.72,2.73,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,0.93,1,0.87,1.02,0.96,0.95,0.9,0.87,0.89,0.93,0.89,0.9,1,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,544,226,318,80,77,118,90,106,65,85,135,137,136,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,534,232,303,90*,86*,122*,88*,94*,56*,84*,141,135,122,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 29th to 31st May 2020,NET: Trust,85,44,41,10,10,24,21,12,6,10,16,23,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 29th to 31st May 2020,5 - Trust completely,16,5,11,4,4,6,2,4,-,1,5,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 29th to 31st May 2020,4,69,39,30,7,7,18,20,9,6,9,11,20,16,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 29th to 31st May 2020,3,224,94,130,36,33,50,34,44,25,34,58,53,51,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 29th to 31st May 2020,2,170,71,98,32,31,37,29,29,16,27,52,44,34,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 29th to 31st May 2020,1 - Do not trust at all,56,23,33,12,12,12,4,8,8,12,16,15,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 29th to 31st May 2020,NET: Do not trust,226,94,132,44,42,48,33,38,24,39,68,59,50,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 29th to 31st May 2020,Mean,2.66,2.71,2.62,2.54,2.53,2.76,2.84,2.68,2.53,2.52,2.56,2.63,2.67,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,0.93,0.93,0.93,0.95,0.97,0.99,0.9,0.91,0.89,0.9,0.92,0.93,1,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 181,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,588,258,330,83,79,124,115,103,62,101,158,137,129,164,72,20,72,42,42,47,25,60,64,68,52,24,,104,266,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 181,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,592,259,333,88*,83*,123,111*,115*,61*,92*,153,149,127,163,69*,24**,67*,46*,47*,43*,23**,56*,54*,86*,52*,24**,,101*,247,66*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 181,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,87,42,45,13,11,12,22,25,4,11,7,21,21,38,6,5,7,9,12,3,3,11,6,16,8,2,,18,25,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 181,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,16,11,5,2,2,1,3,6,2,3,1,3,2,9,3,-,1,5,4,1,-,1,*,2,-,-,,4,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 181,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,4,71,31,40,11,9,11,19,20,2,9,6,18,19,28,3,5,6,4,9,3,3,10,5,14,8,2,,15,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 181,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,3,253,112,141,34,32,51,47,49,27,46,68,56,47,81,39,12,34,13,21,19,8,22,24,38,15,8,,39,101,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 181,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,2,195,83,112,32,32,47,37,30,21,29,56,54,49,36,16,5,21,18,10,16,11,18,23,25,25,7,,29,98,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 181,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,56,21,34,9,8,14,6,11,9,7,21,18,9,8,8,1,5,7,4,5,1,5,1,8,4,6,,15,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 181,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,251,104,146,41,40,60,43,41,30,35,77,72,58,43,25,7,26,24,14,21,12,23,24,32,29,13,,44,121,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 181,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,2.66,2.72,2.61,2.6,2.57,2.51,2.78,2.82,2.44,2.7,2.41,2.56,2.66,2.98,2.65,2.89,2.65,2.62,2.97,2.48,2.53,2.72,2.65,2.74,2.51,2.25,,2.64,2.55,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 181,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.91,0.93,0.88,0.9,0.89,0.84,0.89,0.99,0.9,0.85,0.81,0.93,0.89,0.9,0.9,0.83,0.8,1.17,1.03,0.85,0.79,0.92,0.71,0.91,0.84,0.96,,1.03,0.87,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 182,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497,333,432,197,275,588,100,588,92,105,211,282,521,13,165,57,32,270,142,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 182,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497,332,430,192,274,592,101*,592,91*,106*,210,277,522,12**,165,54*,30**,267,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 182,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,50,51,15,33,87,25,87,20,18,22,35,68,-,19,3,2,30,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 182,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,10,10,3,5,16,9,16,7,4,2,8,15,-,2,1,-,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 182,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,4,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,40,41,12,28,71,16,71,13,14,21,27,53,-,16,2,2,23,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 182,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,3,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,145,190,90,120,253,43,253,29,41,103,116,227,5,77,21,12,87,76,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 182,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,2,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,108,145,70,90,195,26,195,31,35,61,99,178,6,56,23,11,108,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 182,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,29,43,18,31,56,7,56,11,12,24,27,50,1,14,7,5,42,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 182,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,136,189,87,121,251,33,251,42,47,85,125,228,7,70,30,16,150,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 182,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,2.68,2.6,2.55,2.59,2.66,2.96,2.66,2.71,2.65,2.59,2.61,2.63,2.39,2.62,2.38,2.35,2.42,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 182,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.9,0.88,0.81,0.89,0.91,1.03,0.91,1.09,0.98,0.85,0.9,0.9,0.62,0.83,0.82,0.86,0.94,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 183,Q5. Trust in the sources for information/news about Coronavirus used in last week: Facebook,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,69,65,58,99,45,40,245,257,209,138,487,152,523,554,569,587,-,,,,,,,,,
