table,question,date,response,Total (a),Male (b),Female (c),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),16-24 (d),18-24 (e),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 170,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,11**,,,,,,,,,,,,,,,,,,,,,,,,,,,,10**,8**,7**,5**,11**,4**,-**,4**,-**,-**,5**,5**,10**,-**,4**,-**,-**,2**,6**,,,,,,,,,,,,,,,,,,,,,,
Table 170,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,5,4,9,4,-,4,-,-,5,5,8,-,2,-,-,2,5,,,,,,,,,,,,,,,,,,,,,,
Table 170,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,3,2,7,3,-,3,-,-,4,4,6,-,2,-,-,2,4,,,,,,,,,,,,,,,,,,,,,,
Table 170,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,*,-,*,-,-,2,1,3,-,-,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,
Table 170,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,-,-,-,-,-,-,-,2,-,2,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,
Table 170,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Table 170,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Table 170,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
Table 170,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Mean,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.37,4.42,4.21,4.25,4.43,4.88,-,4.88,-,-,4.69,4.76,4.37,-,4.03,-,-,5,4.56,,,,,,,,,,,,,,,,,,,,,,
Table 170,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.79,0.92,0.8,0.8,0.37,-,0.37,-,-,0.51,0.48,0.82,-,1.16,-,-,0,0.79,,,,,,,,,,,,,,,,,,,,,,
Table 171,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,1,-,1,-,2,2,4,2,11,1,11,10,10,11,-,,,,,
Table 171,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,11**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-**,-**,1**,-**,1**,-**,3**,2**,4**,3**,11**,1**,11**,10**,10**,11**,-**,,,,,
Table 171,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Northern Ireland Government website/email/text/post,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,1,-,1,-,3,*,4,2,9,-,9,8,9,9,-,,,,,
