date,confirmed,deaths,recovered,confirmed_diff,deaths_diff,recovered_diff,last_update,active,active_diff,fatality_rate,iso,name,province,lat,long,cities
2020-02-01,1,0,0,0,0,0,2020-02-01 02:13:00,1,0,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-02,1,0,0,0,0,0,2020-02-01 23:43:02,1,0,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-03,1,0,0,0,0,0,2020-02-01 23:43:02,1,0,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-04,1,0,0,0,0,0,2020-02-01 23:43:02,1,0,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-05,1,0,0,0,0,0,2020-02-01 23:43:02,1,0,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-06,1,0,0,0,0,0,2020-02-01 23:43:02,1,0,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-07,1,0,0,0,0,0,2020-02-01 23:43:02,1,0,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-08,1,0,0,0,0,0,2020-02-01 23:43:02,1,0,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-09,2,0,0,1,0,0,2020-02-09 20:33:03,2,1,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-10,2,0,0,0,0,0,2020-02-09 20:33:03,2,0,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-11,2,0,0,0,0,0,2020-02-09 20:33:03,2,0,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-12,2,0,0,0,0,0,2020-02-09 20:33:03,2,0,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-13,2,0,0,0,0,0,2020-02-09 20:33:03,2,0,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-14,2,0,0,0,0,0,2020-02-09 20:33:03,2,0,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-15,2,0,2,0,0,2,2020-02-15 17:23:04,0,-2,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-16,2,0,2,0,0,0,2020-02-15 17:23:04,0,0,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-17,2,0,2,0,0,0,2020-02-15 17:23:04,0,0,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-18,2,0,2,0,0,0,2020-02-15 17:23:04,0,0,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-19,2,0,2,0,0,0,2020-02-15 17:23:04,0,0,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-20,2,0,2,0,0,0,2020-02-15 17:23:04,0,0,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-21,2,0,2,0,0,0,2020-02-15 17:23:04,0,0,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-22,2,0,2,0,0,0,2020-02-15 17:23:04,0,0,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-23,2,0,2,0,0,0,2020-02-15 17:23:04,0,0,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-24,2,0,2,0,0,0,2020-02-15 17:23:04,0,0,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-25,6,0,2,4,0,0,2020-02-25 21:33:02,4,4,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-26,13,0,2,7,0,0,2020-02-26 20:43:02,11,7,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-27,15,0,2,2,0,0,2020-02-27 13:23:02,13,2,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-28,32,0,2,17,0,0,2020-02-28 15:33:03,30,17,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-02-29,45,0,2,13,0,0,2020-02-29 19:13:08,43,13,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-03-01,84,0,2,39,0,0,2020-03-01 23:33:03,82,39,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-03-02,120,0,2,36,0,0,2020-03-02 14:43:05,118,36,0.0,ESP,Spain,,40.4637,-3.7492,[]
2020-03-03,165,1,2,45,1,0,2020-03-03 23:53:03,162,44,0.0061,ESP,Spain,,40.4637,-3.7492,[]
2020-03-04,222,2,2,57,1,0,2020-03-04 20:43:02,218,56,0.009,ESP,Spain,,40.4637,-3.7492,[]
2020-03-05,259,3,2,37,1,0,2020-03-05 17:43:03,254,36,0.0116,ESP,Spain,,40.4637,-3.7492,[]
2020-03-06,400,5,2,141,2,0,2020-03-06 20:13:13,393,139,0.0125,ESP,Spain,,40.4637,-3.7492,[]
2020-03-07,500,10,30,100,5,28,2020-03-07 17:43:05,460,67,0.02,ESP,Spain,,40.4637,-3.7492,[]
2020-03-08,673,17,30,173,7,0,2020-03-08 20:33:02,626,166,0.0253,ESP,Spain,,40.4637,-3.7492,[]
2020-03-09,1073,28,32,400,11,2,2020-03-09 18:13:11,1013,387,0.0261,ESP,Spain,,40.4637,-3.7492,[]
2020-03-10,1695,35,32,622,7,0,2020-03-10 23:53:02,1628,615,0.0206,ESP,Spain,,40.4637,-3.7492,[]
2020-03-11,2277,54,183,582,19,151,2020-03-11 20:53:02,2040,412,0.0237,ESP,Spain,,40.4637,-3.7492,[]
2020-03-12,2277,55,183,0,1,0,2020-03-12 01:17:58,2039,-1,0.0242,ESP,Spain,,40.4637,-3.7492,[]
2020-03-13,5232,133,193,2955,78,10,2020-03-11 20:00:00,4906,2867,0.0254,ESP,Spain,,40.4637,-3.7492,[]
2020-03-14,6391,195,517,1159,62,324,2020-03-14 22:13:11,5679,773,0.0305,ESP,Spain,,40.4637,-3.7492,[]
2020-03-15,7798,289,517,1407,94,0,2020-03-15 18:20:18,6992,1313,0.0371,ESP,Spain,,40.4637,-3.7492,[]
2020-03-16,9942,342,530,2144,53,13,2020-03-16 20:13:11,9070,2078,0.0344,ESP,Spain,,40.4637,-3.7492,[]
2020-03-17,11748,533,1028,1806,191,498,2020-03-17 20:53:02,10187,1117,0.0454,ESP,Spain,,40.4637,-3.7492,[]
2020-03-18,13910,623,1081,2162,90,53,2020-03-18 13:13:13,12206,2019,0.0448,ESP,Spain,,40.4637,-3.7492,[]
2020-03-19,17963,830,1107,4053,207,26,2020-03-19 20:13:08,16026,3820,0.0462,ESP,Spain,,40.4637,-3.7492,[]
2020-03-20,20410,1043,1588,2447,213,481,2020-03-20 17:43:03,17779,1753,0.0511,ESP,Spain,,40.4637,-3.7492,[]
2020-03-21,25374,1375,2125,4964,332,537,2020-03-21 13:13:30,21874,4095,0.0542,ESP,Spain,,40.4637,-3.7492,[]
2020-03-22,28603,1756,2125,3229,381,0,2020-03-22 23:45:00,24722,2848,0.0614,ESP,Spain,,40.4637,-3.7492,[]
2020-03-23,35136,2311,3355,6533,555,1230,2020-03-23 23:19:21,29470,4748,0.0658,ESP,Spain,,40.4637,-3.7492,[]
